Strike,Moneyness,Bid,Midpoint,Ask,F,T
3000.00,0.21,854.50,858.25,862.00,3803.79,0.74
3025.00,0.20,833.10,836.80,840.50,3803.79,0.74
3050.00,0.20,811.80,815.50,819.20,3803.79,0.74
3075.00,0.19,790.60,794.25,797.90,3803.79,0.74
3100.00,0.19,769.50,773.15,776.80,3803.79,0.74
3125.00,0.18,748.60,752.15,755.70,3803.79,0.74
3150.00,0.17,727.80,731.30,734.80,3803.79,0.74
3175.00,0.17,707.10,710.60,714.10,3803.79,0.74
3200.00,0.16,686.60,690.05,693.50,3803.79,0.74
3225.00,0.15,666.10,669.55,673.00,3803.79,0.74
3250.00,0.15,645.90,649.25,652.60,3803.79,0.74
3275.00,0.14,625.70,629.05,632.40,3803.79,0.74
3300.00,0.13,605.70,609.00,612.30,3803.79,0.74
3325.00,0.13,585.90,589.15,592.40,3803.79,0.74
3350.00,0.12,566.20,569.40,572.60,3803.79,0.74
3375.00,0.11,546.60,549.80,553.00,3803.79,0.74
3400.00,0.11,527.30,530.40,533.50,3803.79,0.74
3425.00,0.10,508.00,511.10,514.20,3803.79,0.74
3450.00,0.09,489.00,492.05,495.10,3803.79,0.74
3475.00,0.09,470.10,473.10,476.10,3803.79,0.74
3500.00,0.08,451.40,454.40,457.40,3803.79,0.74
3525.00,0.07,432.90,435.85,438.80,3803.79,0.74
3550.00,0.07,414.60,417.50,420.40,3803.79,0.74
3575.00,0.06,396.50,399.35,402.20,3803.79,0.74
3600.00,0.05,378.60,381.40,384.20,3803.79,0.74
3625.00,0.05,361.00,363.75,366.50,3803.79,0.74
3650.00,0.04,343.60,346.30,349.00,3803.79,0.74
3675.00,0.03,326.40,329.10,331.80,3803.79,0.74
3700.00,0.03,309.50,312.15,314.80,3803.79,0.74
3725.00,0.02,292.90,295.50,298.10,3803.79,0.74
3750.00,0.01,276.70,279.25,281.80,3803.79,0.74
3775.00,0.01,260.70,263.20,265.70,3803.79,0.74
3800.00,0.00,245.10,247.60,250.10,3803.79,0.74
3825.00,-0.01,229.90,232.35,234.80,3803.79,0.74
3850.00,-0.01,215.10,217.50,219.90,3803.79,0.74
3875.00,-0.02,200.70,203.05,205.40,3803.79,0.74
3900.00,-0.03,186.80,189.10,191.40,3803.79,0.74
3925.00,-0.03,173.40,175.65,177.90,3803.79,0.74
3950.00,-0.04,160.50,162.70,164.90,3803.79,0.74
3975.00,-0.05,148.20,150.35,152.50,3803.79,0.74
4000.00,-0.05,136.40,138.50,140.60,3803.79,0.74
4025.00,-0.06,125.20,127.30,129.40,3803.79,0.74
4050.00,-0.06,114.60,116.65,118.70,3803.79,0.74
4075.00,-0.07,104.70,106.65,108.60,3803.79,0.74
4100.00,-0.08,95.30,97.25,99.20,3803.79,0.74
4150.00,-0.09,78.50,80.35,82.20,3803.79,0.74
4200.00,-0.10,64.20,65.95,67.70,3803.79,0.74
4250.00,-0.12,52.10,53.75,55.40,3803.79,0.74
4300.00,-0.13,42.20,43.75,45.30,3803.79,0.74
4400.00,-0.16,27.60,28.90,30.20,3803.79,0.74
4500.00,-0.18,18.20,19.25,20.30,3803.79,0.74
4600.00,-0.21,12.70,13.20,13.70,3803.79,0.74
4700.00,-0.24,8.50,8.95,9.40,3803.79,0.74
4800.00,-0.26,5.80,6.20,6.60,3803.79,0.74
4900.00,-0.29,4.10,4.50,4.90,3803.79,0.74
5000.00,-0.31,3.00,3.35,3.70,3803.79,0.74
5100.00,-0.34,2.30,2.63,2.95,3803.79,0.74
5200.00,-0.37,1.75,2.08,2.40,3803.79,0.74
5300.00,-0.39,1.35,1.68,2.00,3803.79,0.74
5400.00,-0.42,1.05,1.38,1.70,3803.79,0.74
5500.00,-0.45,0.80,1.15,1.50,3803.79,0.74
5600.00,-0.47,0.65,0.98,1.30,3803.79,0.74
